,alert_type,timestamp,src_ip,src_port,dst_ip,dst_port,infected_host,scanned_host,alert_type_2,timestamp_2,src_ip_2,src_port_2,dst_ip_2,dst_port_2,infected_host_2,scanned_host_2,score,APT
0,1.0,15.0,57.0,59634.0,4938.0,80.0,57.0,0.0,4.0,421415.0,57.0,49885.0,2889.0,443.0,57.0,0.0,3.0,1.0
1,2.0,746.0,19.0,52962.0,3897.0,80.0,19.0,0.0,4.0,345129.0,19.0,58157.0,1960.0,443.0,19.0,0.0,1.0,0.0
2,3.0,1441.0,41.0,56076.0,351.0,53.0,41.0,0.0,4.0,647314.0,41.0,61589.0,1050.0,3081.0,41.0,0.0,3.0,1.0
3,3.0,1778.0,355.0,53130.0,4909.0,42767.0,355.0,0.0,5.0,187986.0,355.0,53118.0,3866.0,443.0,355.0,0.0,3.0,1.0
4,1.0,1862.0,347.0,63350.0,7654.0,80.0,347.0,0.0,4.0,363710.0,133.0,62665.0,1097.0,443.0,347.0,0.0,2.0,0.0
5,1.0,2859.0,310.0,58265.0,27.0,80.0,375.0,0.0,4.0,260905.0,375.0,53948.0,1052.0,443.0,375.0,0.0,3.0,1.0
6,1.0,3911.0,126.0,51368.0,3994.0,40852.0,126.0,0.0,4.0,78763.0,126.0,55973.0,1052.0,443.0,126.0,0.0,3.0,1.0
7,3.0,4060.0,136.0,61881.0,465.0,53.0,136.0,0.0,6.0,837233.0,136.0,49928.0,228.0,53.0,136.0,0.0,3.0,1.0
8,2.0,4317.0,333.0,62605.0,5420.0,80.0,333.0,0.0,4.0,295484.0,333.0,49882.0,1077.0,443.0,333.0,0.0,2.0,0.0
9,2.0,4979.0,456.0,53871.0,2657.0,80.0,456.0,0.0,6.0,1126913.0,456.0,54026.0,7547.0,47903.0,456.0,0.0,3.0,1.0
10,2.0,5922.0,34.0,51161.0,3184.0,80.0,34.0,0.0,5.0,461711.0,34.0,60950.0,2120.0,443.0,34.0,0.0,1.0,0.0
11,2.0,5954.0,285.0,53544.0,471.0,80.0,285.0,0.0,6.0,213502.0,276.0,50916.0,369.0,53.0,285.0,0.0,3.0,1.0
12,2.0,6027.0,349.0,50889.0,5781.0,80.0,349.0,0.0,5.0,102222.0,349.0,55323.0,5870.0,443.0,349.0,0.0,1.0,0.0
13,2.0,6332.0,349.0,54690.0,324.0,80.0,349.0,0.0,5.0,226684.0,349.0,58309.0,7794.0,443.0,349.0,0.0,1.0,0.0
14,2.0,7529.0,269.0,57492.0,5591.0,80.0,170.0,0.0,5.0,24532.0,170.0,50454.0,8928.0,443.0,170.0,0.0,1.0,0.0
15,2.0,7739.0,110.0,60757.0,5552.0,80.0,110.0,0.0,6.0,549972.0,110.0,50737.0,45.0,53.0,110.0,0.0,3.0,1.0
16,1.0,8040.0,259.0,52244.0,254.0,80.0,259.0,0.0,5.0,335765.0,259.0,60172.0,4528.0,443.0,259.0,0.0,3.0,1.0
17,3.0,8940.0,384.0,58361.0,97.0,53.0,384.0,0.0,5.0,30503.0,384.0,57397.0,332.0,443.0,384.0,0.0,3.0,1.0
18,2.0,10827.0,2.0,57129.0,3413.0,80.0,2.0,0.0,4.0,121691.0,2.0,60523.0,6410.0,443.0,2.0,0.0,3.0,1.0
19,2.0,11357.0,263.0,60027.0,1.0,80.0,263.0,0.0,6.0,96492.0,263.0,63496.0,132.0,53.0,263.0,0.0,3.0,1.0
20,3.0,11586.0,86.0,53835.0,359.0,53.0,86.0,0.0,6.0,226645.0,86.0,55202.0,452.0,12761.0,86.0,0.0,2.0,0.0
21,2.0,12344.0,217.0,65495.0,1924.0,80.0,217.0,0.0,4.0,113840.0,350.0,62942.0,1001.0,443.0,217.0,0.0,1.0,0.0
22,3.0,12629.0,112.0,62585.0,40.0,2230.0,112.0,0.0,4.0,666458.0,112.0,58931.0,1083.0,443.0,112.0,0.0,3.0,1.0
23,1.0,12787.0,179.0,57441.0,3209.0,80.0,179.0,0.0,4.0,796950.0,179.0,64143.0,1090.0,443.0,179.0,0.0,3.0,1.0
24,3.0,13567.0,239.0,59520.0,86.0,53.0,239.0,0.0,4.0,1194290.0,239.0,51942.0,1047.0,443.0,239.0,0.0,1.0,0.0
25,1.0,13655.0,265.0,51741.0,6902.0,80.0,265.0,0.0,5.0,130048.0,372.0,53407.0,1802.0,443.0,265.0,0.0,3.0,1.0
26,1.0,13720.0,40.0,60110.0,3500.0,80.0,40.0,0.0,4.0,564411.0,40.0,64647.0,1078.0,443.0,40.0,0.0,1.0,0.0
27,3.0,14392.0,446.0,65140.0,273.0,4956.0,446.0,0.0,5.0,33713.0,446.0,59973.0,92.0,14305.0,446.0,0.0,3.0,1.0
28,2.0,14516.0,441.0,52030.0,3673.0,80.0,441.0,0.0,5.0,30939.0,441.0,63730.0,287.0,443.0,441.0,0.0,1.0,0.0
29,2.0,14668.0,485.0,53773.0,3146.0,80.0,485.0,0.0,6.0,38031.0,151.0,60208.0,51.0,53.0,485.0,0.0,1.0,0.0
30,1.0,14824.0,358.0,59025.0,6167.0,80.0,358.0,0.0,5.0,595859.0,358.0,59299.0,6938.0,443.0,358.0,0.0,2.0,0.0
31,1.0,14910.0,348.0,51171.0,148.0,80.0,348.0,0.0,5.0,365495.0,348.0,65109.0,289.0,443.0,348.0,0.0,2.0,0.0
32,2.0,15089.0,294.0,55988.0,239.0,80.0,294.0,0.0,6.0,534457.0,52.0,58164.0,291.0,53.0,294.0,0.0,2.0,0.0
33,1.0,17482.0,259.0,59068.0,6595.0,80.0,259.0,0.0,4.0,444554.0,259.0,52126.0,1063.0,443.0,259.0,0.0,1.0,0.0
34,2.0,18132.0,216.0,63453.0,30.0,80.0,216.0,0.0,4.0,940480.0,216.0,64907.0,1070.0,443.0,216.0,0.0,1.0,0.0
35,2.0,19278.0,330.0,60514.0,8377.0,80.0,330.0,0.0,6.0,121491.0,330.0,59847.0,443.0,53.0,330.0,0.0,3.0,1.0
36,1.0,19595.0,275.0,61919.0,3803.0,80.0,275.0,0.0,4.0,355711.0,275.0,62239.0,3770.0,443.0,275.0,0.0,3.0,1.0
37,1.0,20095.0,130.0,64739.0,74.0,16261.0,130.0,0.0,4.0,447916.0,130.0,55397.0,3118.0,443.0,130.0,0.0,3.0,1.0
38,1.0,20904.0,30.0,61281.0,6441.0,80.0,30.0,0.0,5.0,38413.0,415.0,51256.0,7205.0,443.0,30.0,0.0,1.0,0.0
39,1.0,21229.0,135.0,61907.0,7699.0,80.0,135.0,0.0,4.0,114652.0,135.0,65087.0,1058.0,443.0,135.0,0.0,3.0,1.0
40,3.0,21398.0,263.0,53390.0,8617.0,53.0,263.0,0.0,5.0,221106.0,263.0,55909.0,19.0,443.0,263.0,0.0,2.0,0.0
41,2.0,21457.0,364.0,55494.0,392.0,80.0,364.0,0.0,6.0,238430.0,364.0,56813.0,205.0,53.0,364.0,0.0,2.0,0.0
42,3.0,21836.0,225.0,58193.0,9126.0,53.0,225.0,0.0,4.0,1160373.0,225.0,50891.0,1099.0,443.0,225.0,0.0,3.0,1.0
43,3.0,22043.0,495.0,50974.0,212.0,53.0,495.0,0.0,6.0,136599.0,495.0,57073.0,9882.0,53.0,495.0,0.0,1.0,0.0
44,2.0,22271.0,430.0,56165.0,2350.0,80.0,430.0,0.0,4.0,466032.0,430.0,63766.0,1072.0,27689.0,430.0,0.0,3.0,1.0
45,3.0,24446.0,324.0,56673.0,393.0,53.0,324.0,0.0,6.0,213499.0,324.0,58029.0,261.0,53.0,324.0,0.0,1.0,0.0
46,3.0,24855.0,161.0,62150.0,207.0,53.0,161.0,0.0,5.0,275633.0,161.0,55197.0,2326.0,443.0,161.0,0.0,3.0,1.0
47,3.0,25218.0,45.0,59954.0,7017.0,53.0,195.0,0.0,6.0,91557.0,45.0,62767.0,3530.0,53.0,195.0,0.0,3.0,1.0
48,1.0,25905.0,352.0,52432.0,2348.0,80.0,352.0,0.0,5.0,815323.0,352.0,63947.0,2743.0,443.0,352.0,0.0,3.0,1.0
