alert_type,timestamp,src_ip,src_port,dst_ip,dst_port,infected_host,scanned_host
1.0,561360.0,45.0,62496.0,2765.0,80.0,45.0,0.0
6.0,714706.0,437.0,50852.0,70.0,53.0,437.0,0.0
6.0,514145.0,84.0,49206.0,397.0,53.0,84.0,0.0
7.0,146543.0,4.0,59488.0,375.0,919.0,4.0,375.0
2.0,298163.0,65.0,49847.0,8056.0,80.0,65.0,0.0
5.0,984179.0,429.0,50356.0,157.0,443.0,429.0,0.0
8.0,433823.0,421.0,59482.0,10002.0,443.0,331.0,0.0
7.0,1129358.0,327.0,65081.0,267.0,860.0,327.0,267.0
1.0,380560.0,372.0,51858.0,5291.0,80.0,372.0,0.0
6.0,1162250.0,201.0,51553.0,8484.0,53.0,201.0,0.0
6.0,34201.0,97.0,52040.0,6956.0,53.0,97.0,0.0
4.0,850855.0,273.0,51109.0,5814.0,443.0,323.0,0.0
4.0,1141208.0,248.0,54971.0,1069.0,443.0,248.0,0.0
8.0,92548.0,6.0,53566.0,10059.0,443.0,6.0,0.0
5.0,738298.0,351.0,58062.0,7888.0,443.0,351.0,0.0
2.0,1070220.0,182.0,52061.0,8098.0,80.0,182.0,0.0
7.0,154108.0,280.0,62397.0,15.0,661.0,280.0,15.0
1.0,1177736.0,172.0,62720.0,1390.0,80.0,172.0,0.0
3.0,878787.0,33.0,53870.0,343.0,53.0,41.0,0.0
1.0,1087785.0,199.0,59184.0,5771.0,55791.0,199.0,0.0
6.0,265227.0,274.0,60218.0,62.0,53.0,274.0,0.0
7.0,906352.0,32.0,53608.0,233.0,43.0,32.0,233.0
8.0,637127.0,220.0,50077.0,10021.0,443.0,220.0,0.0
3.0,720521.0,257.0,52585.0,372.0,53.0,257.0,0.0
6.0,194736.0,140.0,57122.0,454.0,53.0,140.0,0.0
7.0,90230.0,481.0,51785.0,490.0,404.0,481.0,490.0
1.0,407190.0,138.0,56719.0,6195.0,80.0,138.0,0.0
3.0,1120264.0,70.0,65010.0,375.0,53.0,15.0,0.0
5.0,1212037.0,444.0,65081.0,7486.0,443.0,444.0,0.0
3.0,1278741.0,326.0,49347.0,9102.0,53.0,326.0,0.0
2.0,109965.0,185.0,64250.0,7894.0,80.0,185.0,0.0
4.0,941720.0,176.0,55458.0,1049.0,443.0,176.0,0.0
7.0,1049572.0,136.0,54882.0,439.0,771.0,136.0,439.0
5.0,256538.0,466.0,57849.0,6280.0,443.0,466.0,0.0
1.0,1228866.0,199.0,58933.0,8628.0,80.0,494.0,0.0
6.0,508921.0,332.0,63747.0,431.0,53.0,332.0,0.0
6.0,520961.0,486.0,64077.0,295.0,53.0,486.0,0.0
1.0,382114.0,64.0,49804.0,9134.0,9668.0,64.0,0.0
1.0,986308.0,278.0,53790.0,7059.0,80.0,278.0,0.0
1.0,971834.0,259.0,58612.0,298.0,80.0,259.0,0.0
7.0,477264.0,353.0,51204.0,447.0,519.0,353.0,447.0
7.0,749996.0,218.0,50574.0,311.0,27.0,218.0,311.0
3.0,415742.0,24.0,57981.0,85.0,49300.0,24.0,0.0
4.0,634919.0,256.0,64467.0,1037.0,443.0,256.0,0.0
2.0,928436.0,314.0,58304.0,9532.0,80.0,314.0,0.0
7.0,852310.0,409.0,63850.0,57.0,124.0,409.0,57.0
7.0,1084839.0,183.0,54193.0,253.0,276.0,183.0,253.0
4.0,78763.0,126.0,55973.0,1052.0,443.0,126.0,0.0
7.0,675114.0,281.0,50133.0,22.0,505.0,281.0,455.0
5.0,389920.0,156.0,52845.0,6322.0,443.0,156.0,0.0
1.0,758190.0,403.0,54161.0,4686.0,80.0,403.0,0.0
7.0,819302.0,287.0,55343.0,200.0,158.0,287.0,200.0
5.0,291972.0,244.0,52652.0,2999.0,443.0,244.0,0.0
1.0,933299.0,267.0,60719.0,6944.0,80.0,267.0,0.0
1.0,221726.0,261.0,52260.0,341.0,80.0,43.0,0.0
4.0,805901.0,93.0,62874.0,1061.0,443.0,93.0,0.0
3.0,180999.0,170.0,50210.0,75.0,53.0,170.0,0.0
7.0,421153.0,339.0,62412.0,31.0,116.0,339.0,31.0
8.0,189347.0,69.0,50501.0,10046.0,443.0,69.0,0.0
4.0,493110.0,402.0,63284.0,1086.0,443.0,402.0,0.0
1.0,611710.0,168.0,62282.0,4751.0,80.0,168.0,0.0
2.0,231376.0,474.0,57333.0,4842.0,80.0,474.0,0.0
1.0,1268135.0,459.0,57778.0,7026.0,80.0,459.0,0.0
3.0,874232.0,449.0,50240.0,5741.0,53.0,449.0,0.0
1.0,735141.0,260.0,49246.0,151.0,80.0,260.0,0.0
3.0,1279283.0,167.0,63724.0,376.0,53.0,274.0,0.0
4.0,836915.0,326.0,51465.0,1027.0,24504.0,326.0,0.0
8.0,594123.0,335.0,54504.0,10050.0,443.0,335.0,0.0
1.0,338388.0,400.0,55465.0,4015.0,80.0,400.0,0.0
2.0,567176.0,63.0,51563.0,1931.0,80.0,63.0,0.0
3.0,528633.0,211.0,52191.0,5260.0,53.0,211.0,0.0
2.0,1121840.0,62.0,59958.0,6054.0,80.0,62.0,0.0
1.0,196229.0,430.0,52862.0,52.0,29922.0,430.0,0.0
6.0,378106.0,420.0,53487.0,1.0,53.0,420.0,0.0
4.0,8961.0,414.0,62823.0,1011.0,443.0,414.0,0.0
5.0,883536.0,87.0,61935.0,2064.0,443.0,87.0,0.0
7.0,558082.0,292.0,50907.0,327.0,386.0,292.0,327.0
6.0,47524.0,341.0,53912.0,146.0,53.0,341.0,0.0
4.0,1043321.0,24.0,63003.0,1020.0,443.0,24.0,0.0
1.0,1153182.0,114.0,51207.0,4111.0,80.0,114.0,0.0
7.0,1121555.0,481.0,61116.0,39.0,443.0,481.0,39.0
1.0,1121837.0,475.0,59357.0,16.0,80.0,475.0,0.0
1.0,327545.0,438.0,52383.0,26.0,80.0,453.0,0.0
8.0,1290304.0,197.0,60088.0,10085.0,443.0,197.0,0.0
7.0,898913.0,337.0,52557.0,45.0,90.0,337.0,45.0
3.0,1224170.0,155.0,61105.0,216.0,53.0,155.0,0.0
5.0,861876.0,433.0,55182.0,9670.0,443.0,433.0,0.0
2.0,4979.0,456.0,53871.0,2657.0,80.0,456.0,0.0
4.0,1156008.0,246.0,50117.0,1038.0,31525.0,246.0,0.0
5.0,1129328.0,391.0,60248.0,3772.0,443.0,391.0,0.0
1.0,1228780.0,50.0,65235.0,7904.0,80.0,50.0,0.0
2.0,152752.0,119.0,61724.0,9299.0,80.0,51.0,0.0
8.0,1102437.0,388.0,56745.0,10081.0,443.0,388.0,0.0
6.0,661240.0,481.0,62791.0,5382.0,53.0,481.0,0.0
8.0,370054.0,121.0,52498.0,10094.0,56116.0,121.0,0.0
3.0,773881.0,478.0,50479.0,76.0,53.0,478.0,0.0
7.0,375030.0,395.0,57312.0,261.0,375.0,395.0,249.0
1.0,986914.0,80.0,58218.0,9273.0,80.0,80.0,0.0
4.0,140276.0,219.0,64630.0,1041.0,443.0,219.0,0.0
7.0,873335.0,357.0,52043.0,168.0,909.0,357.0,168.0
2.0,79705.0,366.0,60708.0,6249.0,16643.0,366.0,0.0
8.0,1234376.0,356.0,60330.0,10086.0,443.0,356.0,0.0
3.0,265648.0,335.0,63857.0,418.0,53.0,335.0,0.0
7.0,29877.0,179.0,53249.0,138.0,731.0,179.0,138.0
2.0,725601.0,106.0,50689.0,3106.0,80.0,106.0,0.0
8.0,1080898.0,216.0,62249.0,10091.0,443.0,216.0,0.0
4.0,384725.0,179.0,56652.0,1090.0,443.0,251.0,0.0
2.0,830303.0,38.0,60918.0,7154.0,80.0,38.0,0.0
5.0,187986.0,355.0,53118.0,3866.0,443.0,355.0,0.0
2.0,885525.0,419.0,63848.0,224.0,80.0,21.0,0.0
7.0,108105.0,49.0,58953.0,485.0,805.0,171.0,485.0
6.0,732273.0,33.0,60067.0,4039.0,53.0,33.0,0.0
8.0,821740.0,257.0,59682.0,10005.0,443.0,257.0,0.0
6.0,602013.0,78.0,59630.0,8729.0,53.0,78.0,0.0
1.0,1291078.0,242.0,54254.0,6410.0,80.0,242.0,0.0
8.0,1170449.0,114.0,59380.0,10100.0,443.0,114.0,0.0
8.0,1011475.0,404.0,59992.0,10061.0,443.0,404.0,0.0
8.0,565548.0,224.0,58767.0,10011.0,443.0,224.0,0.0
8.0,206662.0,465.0,59706.0,10049.0,443.0,465.0,0.0
3.0,488948.0,397.0,51031.0,357.0,53.0,397.0,0.0
8.0,1278244.0,140.0,56854.0,10100.0,443.0,140.0,0.0
4.0,875023.0,414.0,51868.0,7418.0,443.0,414.0,0.0
6.0,976832.0,356.0,53571.0,177.0,53.0,356.0,0.0
3.0,293045.0,494.0,59123.0,80.0,53.0,494.0,0.0
5.0,1293631.0,119.0,55580.0,4134.0,443.0,119.0,0.0
1.0,648224.0,476.0,55437.0,230.0,80.0,476.0,0.0
3.0,698433.0,319.0,54436.0,21.0,53.0,319.0,0.0
1.0,728613.0,111.0,51890.0,8567.0,80.0,111.0,0.0
2.0,1166566.0,269.0,50814.0,337.0,80.0,269.0,0.0
2.0,869165.0,457.0,54256.0,6028.0,80.0,457.0,0.0
3.0,1220335.0,189.0,62253.0,316.0,53.0,189.0,0.0
7.0,905703.0,372.0,54385.0,469.0,295.0,372.0,469.0
5.0,924924.0,259.0,53944.0,301.0,443.0,259.0,0.0
3.0,1110304.0,87.0,56767.0,459.0,8804.0,87.0,0.0
5.0,371651.0,359.0,49686.0,7639.0,443.0,359.0,0.0
4.0,905555.0,471.0,51707.0,1033.0,443.0,471.0,0.0
5.0,495075.0,495.0,54115.0,105.0,443.0,495.0,0.0
2.0,859950.0,263.0,59064.0,2164.0,80.0,263.0,0.0
6.0,1058552.0,37.0,63440.0,159.0,53.0,231.0,0.0
1.0,296588.0,136.0,60101.0,8227.0,48999.0,136.0,0.0
5.0,244016.0,357.0,65374.0,6748.0,443.0,357.0,0.0
4.0,751647.0,492.0,57491.0,1074.0,443.0,492.0,0.0
2.0,19278.0,330.0,60514.0,8377.0,80.0,330.0,0.0
3.0,374102.0,124.0,55031.0,6446.0,53.0,232.0,0.0
3.0,1150086.0,125.0,63186.0,194.0,53.0,125.0,0.0
6.0,829423.0,274.0,63334.0,1093.0,53.0,274.0,0.0
8.0,472818.0,346.0,56674.0,10020.0,443.0,346.0,0.0
8.0,1282510.0,165.0,49274.0,10084.0,443.0,165.0,0.0
8.0,113575.0,122.0,49900.0,10034.0,443.0,122.0,0.0
3.0,1030815.0,94.0,54368.0,272.0,53.0,94.0,0.0
5.0,841610.0,281.0,64697.0,7254.0,443.0,281.0,0.0
5.0,681684.0,407.0,53579.0,4805.0,51421.0,407.0,0.0
